        %ID     MAG1    MAG2    MAG3    ACS1    ACS2    AKS3    GYRO1   GYRO2   GYRO3      HH MM SS MS

	16401	642	617	556	769	539	530	457	346	438	   12 15 22 955
	16402	642	617	556	767	541	530	457	346	437	   12 15 22 970
	16403	641	618	556	769	538	530	458	346	438	   12 15 23 001
	16404	642	617	556	769	538	528	457	347	438	   12 15 23 017
	16405	642	617	556	766	539	530	458	346	438	   12 15 23 033
	16406	642	617	556	766	541	530	457	346	437	   12 15 23 064
	16407	641	617	556	766	542	530	457	347	438	   12 15 23 079
	16408	641	618	556	767	541	529	458	347	438	   12 15 23 095
	16409	641	618	556	767	536	532	457	346	438	   12 15 23 111
	16410	641	619	555	769	541	531	458	346	438	   12 15 23 126
	16411	642	617	556	765	539	529	457	347	438	   12 15 23 157
	16412	643	618	556	766	543	531	458	347	438	   12 15 23 173
	16413	642	617	556	766	539	530	458	346	438	   12 15 23 189
	16414	642	617	556	766	539	527	457	346	438	   12 15 23 220
	16415	641	617	555	765	542	531	457	346	438	   12 15 23 235
	16416	642	616	556	771	537	529	457	346	438	   12 15 23 251
	16417	642	618	556	768	538	530	457	346	438	   12 15 23 267
	16418	642	618	556	764	541	531	457	346	438	   12 15 23 298
	16419	641	617	556	767	538	529	457	346	438	   12 15 23 313
	16420	642	617	556	767	536	530	458	346	438	   12 15 23 329
	16421	641	617	556	768	540	530	457	346	438	   12 15 23 360
	16422	641	617	556	765	539	528	458	346	438	   12 15 23 376
	16423	642	617	556	769	539	530	457	346	438	   12 15 23 391
	16424	642	617	556	767	538	533	457	346	438	   12 15 23 423
	16425	642	617	556	769	538	527	457	346	438	   12 15 23 438
	16426	642	617	556	768	542	527	457	346	438	   12 15 23 454
	16427	642	617	556	767	537	531	457	346	438	   12 15 23 469
	16428	641	618	556	765	539	530	458	346	438	   12 15 23 501
	16429	642	618	556	767	539	530	457	346	438	   12 15 23 516
	16430	642	617	556	767	539	530	457	346	438	   12 15 23 532
	16431	641	617	555	765	541	534	457	347	438	   12 15 23 547
	16432	642	617	556	765	539	530	458	346	438	   12 15 23 579
	16433	642	617	556	767	537	530	457	346	438	   12 15 23 594
	16434	641	618	556	769	541	529	457	347	438	   12 15 23 625
	16435	641	619	556	767	539	530	458	347	438	   12 15 23 641
	16436	642	617	555	766	543	528	457	346	438	   12 15 23 657
	16437	642	618	556	768	541	527	458	346	438	   12 15 23 672
	16438	642	618	556	768	535	531	457	346	438	   12 15 23 703
	16439	642	619	556	767	540	528	458	347	438	   12 15 23 719
	16440	641	617	556	765	540	531	457	346	438	   12 15 23 735
	16441	641	617	556	766	542	530	458	347	438	   12 15 23 750
	16442	642	618	556	769	539	529	458	346	438	   12 15 23 781
	16443	642	617	556	767	538	528	457	347	438	   12 15 23 797
	16444	641	617	556	767	542	532	458	346	438	   12 15 23 813
	16445	642	618	556	768	542	528	458	347	438	   12 15 23 828
	16446	642	618	556	767	537	530	457	346	438	   12 15 23 859
	16447	641	618	556	765	542	533	458	347	438	   12 15 23 875
	16448	642	617	556	767	540	528	457	346	438	   12 15 23 891
	16449	642	617	556	766	539	531	457	347	438	   12 15 23 906
	16450	642	618	556	767	539	529	457	346	438	   12 15 23 937
